,name,company,year,Price,kms_driven,fuel_type
492,XUV500W8,Mahindra,2015,900000,28600,Diesel
493,SuzukiSwift,Maruti,2017,650000,41800,Diesel
494,SumoGold,Tata,2014,275000,116000,Diesel
495,SuzukiSwift,Maruti,2009,210000,59000,Petrol
496,Scorpio2.6,Mahindra,2004,175000,58000,Diesel
497,PajeroSport,Mitsubishi,2015,1490000,42590,Diesel
498,Duster,Renault,2014,800000,7400,Diesel
499,JettaComfortline,Volkswagen,2009,450000,54500,Diesel
500,SuzukiErtiga,Maruti,2012,1000000,200000,Diesel
501,A42.0,Audi,2013,1510000,27000,Diesel
502,S80Summum,Volvo,2015,1850000,42000,Diesel
503,CorollaAltis,Toyota,2014,790000,29000,Petrol
504,PajeroSport,Mitsubishi,2015,1725000,37000,Diesel
505,BeatLT,Chevrolet,2012,135000,36000,Petrol
506,X1,BMW,2011,1000000,34000,Diesel
507,RediGO,Datsun,2018,299999,7000,Petrol
508,BenzC,Mercedes,2009,1225000,76000,Diesel
509,ScorpioSLX,Mahindra,2004,175000,60000,Diesel
510,VentoComfortline,Volkswagen,2011,200000,95000,Diesel
511,IndigoCS,Tata,2017,270000,50000,Diesel
512,FigoPetrol,Ford,2019,525000,0,Petrol
513,CityZX,Honda,2006,180000,50000,Petrol
514,SuzukiWagon,Maruti,2008,140000,68000,Petrol
515,EcoSportTrend,Ford,2014,400000,16000,Petrol
516,SuzukiSwift,Maruti,2016,499000,51000,Diesel
517,DusterRxL,Renault,2015,550000,36000,Petrol
518,SuzukiSwift,Maruti,2014,370000,11523,Petrol
519,SuzukiBaleno,Maruti,2018,690000,1000,Petrol
520,WRV,Honda,2009,250000,60000,Petrol
521,IndigoCS,Tata,2016,110000,85000,Diesel
522,Duster110,Renault,2013,490000,38600,Diesel
523,ScorpioLX,Mahindra,2009,320000,95500,Diesel
524,SuzukiWagon,Maruti,2014,130000,37458,Petrol
525,SuzukiSX4,Maruti,2016,970000,85960,Diesel
526,A3Cabriolet,Audi,2015,3100000,12516,Petrol
527,EonD,Hyundai,2018,280000,35000,Petrol
528,SuzukiZen,Maruti,2009,125000,0,Petrol
529,ScorpioSLX,Mahindra,2008,285000,80000,Diesel
530,SantroAE,Hyundai,2011,165000,45000,Petrol
531,SuzukiSwift,Maruti,2009,250000,51000,Diesel
532,XyloD2,Mahindra,2011,390000,48000,Diesel
533,BeatLT,Chevrolet,2015,215000,90000,Diesel
534,SuzukiSwift,Maruti,2015,475000,43000,Diesel
535,XUV500W8,Mahindra,2015,899000,53000,Diesel
536,Fortuner3.0,Toyota,2013,1499000,97000,Diesel
537,SuzukiAlto,Maruti,2013,240000,20000,Petrol
538,SuzukiSwift,Maruti,2014,260000,120000,Diesel
539,Creta1.6,Hyundai,2019,1200000,0,Petrol
540,SantroXing,Hyundai,2007,115000,46000,Petrol
541,XyloD2,Mahindra,2011,390000,56000,Diesel
542,SantroXing,Hyundai,2007,135000,42000,Petrol
543,i10Sportz,Hyundai,2011,220000,38000,Petrol
544,Grandi10,Hyundai,2017,424999,2550,Petrol
545,SantroXing,Hyundai,2007,135000,47000,Petrol
546,MicraXL,Nissan,2017,430000,62500,Diesel
547,City1.5,Honda,2005,115000,68000,Petrol
548,SuzukiAlto,Maruti,2015,215000,50000,Petrol
549,SuzukiErtiga,Maruti,2012,500000,48000,Diesel
550,SuzukiOmni,Maruti,2013,165000,25000,Petrol
551,EonEra,Hyundai,2014,200000,28400,Petrol
552,Eon,Hyundai,2014,200000,28000,Petrol
553,SuzukiSwift,Maruti,2015,425000,42000,Diesel
554,Verna1.6,Hyundai,2012,600000,29000,Diesel
555,TaveraLS,Chevrolet,2005,130000,68485,Diesel
556,TiagoRevotron,Tata,2018,430000,3500,Petrol
557,TiagoRevotorq,Tata,2019,568500,0,Petrol
558,KUV100K8,Mahindra,2018,560000,8000,Diesel
559,EcoSportTitanium,Ford,2014,590000,34000,Diesel
560,MotorsAmbassador,Hindustan,1995,750000,37000,Petrol
561,Fusion1.4,Ford,2007,125000,85455,Diesel
562,SantroXing,Hyundai,2007,135000,46000,Petrol
563,LineaEmotion,Fiat,2009,120000,64000,Petrol
564,SuzukiOmni,Maruti,2017,240000,8000,Petrol
565,IndicaV2,Tata,2012,115000,64000,Diesel
566,ScorpioS4,Mahindra,2015,795000,63000,Diesel
567,XyloD2,Mahindra,2009,300000,62000,Diesel
568,Grandi10,Hyundai,2014,320000,41000,Petrol
569,SuzukiAlto,Maruti,2015,265000,14000,Petrol
570,Corolla,Toyota,2006,160000,40000,Petrol
571,EonMagna,Hyundai,2017,300000,1600,Petrol
572,SumoGrande,Tata,2010,130000,90000,Diesel
573,SuzukiSwift,Maruti,2011,250000,58000,Diesel
574,PoloHighline1.2L,Volkswagen,2013,380000,27000,Petrol
575,TiagoRevotron,Tata,2017,400000,31000,Petrol
576,SuzukiSwift,Maruti,2009,120000,90000,Diesel
577,IndigoeCS,Tata,2016,130000,150000,Diesel
578,BeatLS,Chevrolet,2014,189000,31000,Diesel
579,XyloE8,Mahindra,2011,365000,43000,Diesel
580,EonD,Hyundai,2013,170000,20000,Petrol
581,SumoGold,Tata,2013,215000,100000,Petrol
582,Elitei20,Hyundai,2017,599999,31000,Petrol
583,i10Magna,Hyundai,2009,400000,33000,Petrol
584,Creta,Hyundai,2016,900000,60000,Diesel
585,Polo,Volkswagen,2013,299999,48000,Diesel
586,SuzukiDzire,Maruti,2014,374999,33000,Petrol
587,BoltXM,Tata,2015,600000,15000,Petrol
588,SuzukiAlto,Maruti,2005,100000,40000,Petrol
589,SuzukiRitz,Maruti,2010,150000,38000,Diesel
590,SuzukiAlto,Maruti,2017,225000,12500,Petrol
591,SuzukiDzire,Maruti,2009,210000,42000,Petrol
592,i20Asta,Hyundai,2014,425000,31000,Petrol
593,SuzukiSwift,Maruti,2008,162000,60000,Diesel
594,ScorpioVLX,Mahindra,2014,650000,77000,Diesel
595,Innova2.5,Toyota,2012,750000,75000,Diesel
596,XyloE8,Mahindra,2010,375000,40000,Diesel
597,i20Magna,Hyundai,2011,230000,47000,Petrol
598,KUV100,Mahindra,2016,380000,26500,Petrol
599,KUV100K8,Mahindra,2019,560000,2875,Petrol
600,GoPlus,Datsun,2016,285000,13900,Petrol
601,Endeavor4x4,Ford,2019,2900000,9000,Diesel
602,SuzukiWagon,Maruti,2016,395000,20000,Petrol
603,SuzukiSwift,Maruti,2008,175000,58000,Diesel
604,SuzukiAlto,Maruti,2019,400000,1500,Petrol
605,Innova2.5,Toyota,2011,750000,75000,Diesel
606,SuzukiAlto,Maruti,2016,250000,2450,Petrol
607,SuzukiAlto,Maruti,2019,425000,1625,Petrol
608,PoloHighline1.2L,Volkswagen,2017,525000,45000,Petrol
609,Logan,Mahindra,2009,130000,65000,Diesel
610,Scorpio,Mahindra,2011,475000,60123,Diesel
611,Sail1.2,Chevrolet,2013,300000,28000,Petrol
612,SuzukiWagon,Maruti,2006,100000,7000,Petrol
613,Eon,Hyundai,2018,260000,25000,Petrol
614,Manza,Tata,2015,100000,100000,Diesel
615,EtiosG,Toyota,2013,265000,42000,Petrol
616,Qualis,Toyota,2003,180000,100000,Diesel
617,City1.5,Honda,2009,270000,55000,Petrol
618,ZestXE,Tata,2017,290000,120000,Diesel
619,QuantoC4,Mahindra,2013,325000,63000,Diesel
620,IndigoeCS,Tata,2016,160000,104000,Diesel
621,SuzukiSwift,Maruti,2016,350000,146000,Diesel
622,Elitei20,Hyundai,2011,290000,40000,Petrol
623,i20Select,Hyundai,2011,290000,40000,Petrol
624,TaveraNeo,Chevrolet,2007,465000,100800,Diesel
625,SuzukiDzire,Maruti,2016,325000,150000,Diesel
626,Elitei20,Hyundai,2018,510000,2100,Petrol
627,CityVX,Honda,2016,860000,95000,Petrol
628,SuzukiDzire,Maruti,2016,450000,2500,Diesel
629,Getz,Hyundai,2006,125000,80000,Petrol
630,BenzC,Mercedes,2006,500001,15000,Petrol
631,Fabia,Skoda,2009,110000,45000,Petrol
632,SuzukiRitz,Maruti,2011,270000,50000,Petrol
633,IndicaV2,Tata,2009,110000,30000,Diesel
634,CorollaAltis,Toyota,2009,300000,132000,Petrol
635,ZestXM,Tata,2018,260000,27000,Diesel
636,QuantoC8,Mahindra,2013,390000,40000,Diesel
